time_s,trolley_x_m,support_down_m,payload_x_m,payload_down_m,chord_angle_rad,material_length_m,arc_length_m,min_axial_force_N,ale_generalized_force_norm
1.28,0.0920839483078344,0.0411698613225969,-0.04982919877038,2.04113127330828,-0.0708392093107817,2,2.00499032269292,48.9371764095692,0
1.3,0.0944557230645487,0.0411650384338316,-0.0484044583621548,2.04105442309632,-0.0713129071510803,2,2.00498553067409,48.889675620658,0
1.32,0.0968124196930978,0.0411588114032347,-0.0466993528725545,2.04100114661733,-0.0716387387095472,2,2.00498506815339,48.886057142381,0
1.34,0.0991507511363298,0.04115180735803,-0.0447144891423112,2.04097181272257,-0.0718153778629039,2,2.00498814273997,48.9169732276773,0
1.36,0.101467745132814,0.0411453893514478,-0.0424493331613322,2.04096429209316,-0.0718412051716452,2,2.00499077668273,48.9421734073936,0
1.38,0.103760598016879,0.0411407537936963,-0.0399023845452431,2.04097681776501,-0.071714185997878,2,2.00498981106106,48.9323441599776,0
1.4,0.106026698838526,0.0411382234846988,-0.0370727308677098,2.04101019396876,-0.0714325494298245,2,2.00498560738872,48.8914833834553,0
1.42,0.108263967257052,0.0411373220471843,-0.0339606020026653,2.04106749398455,-0.0709952468504134,2,2.00498162387776,48.8527503236558,0
1.44,0.110470288099162,0.0411374390540826,-0.0305675983084677,2.04115151347593,-0.0704019019052661,2,2.00498139439113,48.849410908911,0
1.46,0.112643265970985,0.0411385312570913,-0.0268965708001382,2.04126218188302,-0.069652745870154,2,2.00498559484966,48.8906964796598,0
1.48,0.114780364968642,0.0411412366907211,-0.02295042376921,2.04139616737716,-0.0687481042880367,2,2.00499125973859,48.9472489026133,0
1.5,0.116879340335113,0.0411462662378457,-0.0187337761341912,2.04154894568934,-0.0676893382874672,2,2.00499424913201,48.9775183632712,0
1.52,0.118938317435775,0.0411535796973007,-0.0142522783122061,2.04171786790511,-0.0664784091824508,2,2.00499311828544,48.9651825234283,0
1.54,0.120955985982442,0.0411621659730153,-0.00951108652679186,2.04190331263874,-0.0651171773930536,2,2.00499053057393,48.939228289524,0
1.56,0.12293129536671,0.0411706513807742,-0.00451423821349206,2.04210676839513,-0.0636070341012886,2,2.00499090050172,48.9431782669447,0
1.58,0.124863515181347,0.0411782587643412,0.000733740821450414,2.04232754416722,-0.0619498705563078,2,2.00499588625742,48.993086290996,0
1.6,0.126752406980578,0.0411851841214286,0.00622763767712179,2.04256155169858,-0.0601483012492144,2,2.00500276882989,49.0602360706172,0
1.62,0.128597815389253,0.0411920288188122,0.0119608871738591,2.04280324220196,-0.0582056992191334,2,2.00500713455055,49.1031597892144,0
1.64,0.130399399578137,0.0411989169650069,0.0179254901209197,2.04304879617124,-0.0561259780304523,2,2.00500728424819,49.1049783204378,0
1.66,0.132156966883946,0.0412052044554032,0.0241130478693447,2.04329745205674,-0.0539132087817219,2,2.00500549699997,49.0881080818939,0
1.68,0.133870690951121,0.041209994899355,0.0305132563725257,2.04354979157584,-0.0515725573918697,2,2.00500561024716,49.0881381429009,0
1.7,0.135541112976797,0.0412129416027308,0.037115258647248,2.04380503844554,-0.0491097089274243,2,2.00500945066038,49.1253426244098,0
1.72,0.13716934982298,0.0412146084055375,0.0439094007956164,2.04405980413195,-0.046530123887429,2,2.00501530676496,49.1836788141731,0
1.74,0.13875666356962,0.041216049326121,0.0508870758568767,2.0443092905183,-0.0438388429167989,2,2.00501972825936,49.2280654219668,0
1.76,0.140304802246467,0.0412180570984426,0.0580391590921663,2.04454975095476,-0.041041355756329,2,2.00502039859019,49.2340212037812,0
1.78,0.141816001827743,0.0412206614854044,0.0653557588135285,2.04478015717278,-0.0381436926928508,2,2.00501833491092,49.2130098026244,0
1.8,0.143292552179475,0.0412233149593582,0.0728251868778701,2.0450014220774,-0.0351527630523075,2,2.00501708265232,49.2013563381732,0
1.82,0.144736492654567,0.0412256105097923,0.0804352516178067,2.04521386670125,-0.0320756308319657,2,2.00501968085943,49.2276299233074,0
1.84,0.146149893713047,0.0412278782397951,0.0881733983873893,2.04541504383017,-0.02891962020638,2,2.00502555490569,49.2853579536368,0
1.86,0.147535066560457,0.0412310249025602,0.0960257145387126,2.04560014506146,-0.0256928810248333,2,2.0050309091916,49.3371639594553,0
1.88,0.14889470379584,0.0412357307224696,0.103977920599896,2.04576480374351,-0.0224038994751194,2,2.00503230168825,49.3514599978262,0
